cake size,Execution Time (s)
5,0.0014148000000000138
5,0.0011932000000001608
5,0.0015489999999999781
5,0.0014093000000002577
5,0.0013483000000001084
5,0.0013195999999998094
5,0.0011894999999999527
5,0.0037070999999996275
5,0.001436699999999746
5,0.0028308000000001813
5,0.0011691999999998187
5,0.0013105999999997947
5,0.001302099999999882
5,0.0011523999999999432
5,0.001500800000000254
5,0.0012590000000000144
5,0.0013260000000000218
5,0.0017638999999999214
5,0.0014687999999996465
5,0.0015648999999998523
20,0.0012563999999997578
20,0.0013265000000001236
20,0.0014311000000002422
20,0.0014025000000001456
20,0.001446599999999762
20,0.001285399999999754
20,0.0013208999999997104
20,0.0017179999999998473
20,0.0016523999999999432
20,0.001253099999999904
20,0.0013234999999999673
20,0.0012728000000001884
20,0.0013570999999997185
20,0.001249199999999746
20,0.0013623000000002321
20,0.0011758999999997286
20,0.0011443999999996776
20,0.0011989999999996144
20,0.0012714999999998327
20,0.0011655000000000656
80,0.002161899999999832
80,0.003341599999999971
80,0.0025727999999999155
80,0.0037974000000001525
80,0.0017962000000002263
80,0.0015926999999999224
80,0.0013654999999998835
80,0.002087700000000041
80,0.0019265000000000328
80,0.0029800000000000182
80,0.0016377000000002227
80,0.0012967000000001009
80,0.0013940999999999804
80,0.001723600000000033
80,0.0012964999999999236
80,0.0012354000000000269
80,0.0012596000000000913
80,0.0013093000000001212
80,0.0015252000000000408
80,0.0013344999999999345
80,0.001259999999999991
80,0.001381700000000137
80,0.0014018000000000938
80,0.001468900000000076
80,0.0019419000000000324
80,0.0025120999999999187
80,0.0019438000000000103
80,0.0017918999999999414
80,0.0015950000000000274
80,0.001191000000000031
80,0.0011814999999999146
80,0.0016283000000000812
80,0.0017923000000000684
80,0.0012454000000000178
80,0.0012725000000000364
80,0.0011271999999999025
80,0.0010999000000001616
80,0.001115400000000136
80,0.0013024000000000343
80,0.0012842999999998028
320,0.002359300000000076
320,0.002612299999999777
320,0.0016784999999999853
320,0.002740299999999934
320,0.0018317999999999301
320,0.0018583999999998468
320,0.0032257999999999354
320,0.002130200000000059
320,0.0024221000000000004
320,0.0016205999999999677
320,0.0016869999999998982
320,0.0016777000000001863
320,0.001725099999999884
320,0.0016251999999999497
320,0.0016301000000000841
320,0.001566000000000031
320,0.0020122999999998684
320,0.0018501000000001114
320,0.0017912999999998647
320,0.0016572000000001025
320000,0.6027715999999999
320000,0.5260499
320000,0.5999217000000003
320000,0.5344059999999999
320000,0.7580707000000002
320000,0.5747286999999996
320000,0.5418670000000002
320000,0.5350681000000004
320000,0.5437211000000006
320000,0.5334760999999999
320000,0.5719588000000003
320000,0.5865907000000007
320000,0.4771152000000002
320000,0.8417914000000001
320000,0.7256443999999992
320000,0.6802702000000008
320000,0.6416229000000003
320000,0.7347091
320000,0.6739026999999987
320000,0.5012559999999976
